disaster_number,historic,classification_key,disaster_group,disaster_subgroup,disaster_type,disaster_subtype,event_name,iso_code,country,subregion,region,location,origin,associated_types,ofda_bha_response,appeal,declaration,magnitude,magnitude_scale,start_year,start_month,start_day,end_year,end_month,end_day,total_deaths,num_injured,num_affected,num_homeless,total_affected,insured_damage_000s_usd,insured_damage_adjusted_000s_usd,total_damage_000s_usd,total_damage_adjusted_000s_usd,cpi,entry_date,last_update,start_date,end_date,days_lasted
2000-0865-USA,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,USA,United States of America,Northern America,Americas,Maui district (Hawaii province),Heavy rains,,No,No,No,86.0,Km2,2000,11,2,2000,11,2,,,100.0,,100.0,,,20000.0,35389.0,56.51429055927763,2004-10-20,2023-09-25,2000-11-02,2000-11-02,0
2000-0919-USA,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,USA,United States of America,Northern America,Americas,"Alabama, Georgia, Louisiana, North Carolina, South Carolina, Tennessee, Virginia, New York, Pennsylvania, Massachussetts provinces",,Cold wave,No,No,No,,Kph,2000,1,22,2000,1,25,4.0,,,,,280000.0,495450.0,350000.0,619312.0,56.51429055927763,2007-01-17,2023-09-25,2000-01-22,2000-01-25,3
2000-0937-USA,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,USA,United States of America,Northern America,Americas,"Tuscaloosa district (Alabama province), Connecticut, Florida, Georgia, Massachusetts, Mississippi, Norh Carolina, New Jersey, New York, Pennsylvania, Rhode Island provinces",,,No,No,No,,Kph,2000,12,16,2000,12,17,12.0,75.0,,,75.0,200500.0,354778.0,500000.0,884732.0,56.51429055927763,2006-07-20,2023-09-25,2000-12-16,2000-12-17,1
2000-9339-USA,No,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,,USA,United States of America,Northern America,Americas,"South Carolina, Georgia, Alabama, Florida, Louisiana, Texas provinces",,,No,No,Yes,,Km2,2000,6,1,2002,6,1,,,,,,,,1100000.0,1946410.0,56.51429055927763,2006-02-28,2023-09-25,2000-06-01,2002-06-01,730
2000-9712-USA,No,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,,USA,United States of America,Northern America,Americas,Wyoming province,,Wildfire,No,No,No,,Km2,2000,11,1,2000,11,1,,,,,,,,,,56.51429055927763,2006-02-28,2023-09-25,2000-11-01,2000-11-01,0
2001-0099-USA,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,USA,United States of America,Northern America,Americas,"Seattle city (King district), Tacoma city (Pierce district), Olympia city (Thurston district) (Washington province)",,,No,No,No,6.8,Moment Magnitude,2001,2,28,2001,2,28,1.0,400.0,,,400.0,305000.0,524853.0,2000000.0,3441661.0,58.11147437438208,2003-09-05,2023-09-25,2001-02-28,2001-02-28,0
2001-0102-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,USA,United States of America,Northern America,Americas,"Calhoun, Lee, Pontotoc, Prentiss, Union districts (Mississippi province)",,,No,No,No,,Kph,2001,2,24,2001,2,24,7.0,30.0,900.0,,930.0,200500.0,345027.0,250000.0,430208.0,58.11147437438208,2003-07-01,2023-09-25,2001-02-24,2001-02-24,0
2001-0106-USA,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,USA,United States of America,Northern America,Americas,"Virginia, New Jersey, Pennsylvania, North Carolina, West Virginia, Maryland provinces",,Transport accident,No,No,No,,Kph,2001,2,22,2001,2,22,11.0,100.0,,,100.0,,,,,58.11147437438208,2003-07-01,2023-09-25,2001-02-22,2001-02-22,0
2001-0145-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,USA,United States of America,Northern America,Americas,"Kearny, Trego, Ellis, Rooks, Ford, Osborne, Smith, Jewell, Edwards, Republic, Washington districts (Kansas province), Union city (Franklin district, Missouri province), Johnson, Pettis, Cooper, Callaway, St Charles, Gentry, Worth, Clark, Madison districts (Missouri), Beaver, Pontotoc, Coal, Johnston, Atoka, Haskell, Pottawatomie districts (Oklahoma province), Wichita, Cooke, Carson, Hutchinson, Hansford, Wheeler districts (Texas province), Thayer, Gage, Sarpy, Webster, Nuckolls districts (Nebraska province), Mills, Pottawattamie, Guthrie, Boone, Hamilton, Wapello, Johnson, Black Hawk, Benton, Fayette, Webster, Ringgold districts (Iowa province), Madison district (Illinois province)",,Hail,No,No,No,,Kph,2001,4,10,2001,4,11,4.0,18.0,765.0,30.0,813.0,,,23000.0,39579.0,58.11147437438208,2003-07-01,2023-09-25,2001-04-10,2001-04-11,1
2001-0194-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,USA,United States of America,Northern America,Americas,"Marion, Clay districts (Florida province)",,,No,No,No,,Kph,2001,3,29,2001,3,29,,,492.0,,492.0,,,1800.0,3097.0,58.11147437438208,2003-07-01,2023-09-25,2001-03-29,2001-03-29,0
