"disaster_number","historic","classification_key","disaster_group","disaster_subgroup","disaster_type","disaster_subtype","origin","associated_types","ofda_bha_response","appeal","declaration","magnitude","magnitude_scale","start_date","end_date","entry_date","last_update"
"2021-0144-AFG","No","nat-hyd-mmw-ava","Natural","Hydrological","Mass movement (wet)","Avalanche (wet)",NULL,NULL,"No","No","No",NULL,NULL,"2021-03-04","2021-03-04","2021-03-15","2023-09-25"
"2021-0158-CHN","No","nat-met-sto-san","Natural","Meteorological","Storm","Sand/Dust storm",NULL,"Snow/ice","No","No","No",NULL,"Kph","2021-03-14","2021-03-16","2021-03-16","2023-09-25"
"2021-0158-MNG","No","nat-met-sto-san","Natural","Meteorological","Storm","Sand/Dust storm",NULL,"Snow/ice","No","No","No",NULL,"Kph","2021-03-14","2021-03-15","2021-03-16","2023-09-25"
"2021-0165-IDN","No","nat-hyd-flo-flo","Natural","Hydrological","Flood","Flood (General)","Heavy rains","Slide (land, mud, snow, rock)","No","No","No",NULL,"Km2","2021-03-17","2021-03-18","2021-03-22","2023-09-25"
"2021-0171-THA","No","nat-met-sto-sev","Natural","Meteorological","Storm","Severe weather",NULL,"Lightening","No","No","No",NULL,"Kph","2021-03-22","2021-03-23","2021-03-22","2024-04-23"
"2021-0171-VNM","No","nat-met-sto-sev","Natural","Meteorological","Storm","Severe weather",NULL,NULL,"No","No","No",NULL,"Kph","2021-03-22","2021-03-23","2021-04-12","2023-09-25"
"2021-0173-IDN","No","nat-met-sto-tro","Natural","Meteorological","Storm","Tropical cyclone",NULL,"Flood","No","No","No","85","Kph","2021-04-02","2021-04-06","2021-04-08","2023-09-25"
"2021-0173-TLS","No","nat-met-sto-tro","Natural","Meteorological","Storm","Tropical cyclone",NULL,"Flood|Slide (land, mud, snow, rock)","Yes","No","No","102","Kph","2021-04-05","2021-04-06","2021-04-08","2023-09-25"
"2021-0185-IDN","No","nat-hyd-flo-flo","Natural","Hydrological","Flood","Flood (General)","Heavy rains","Slide (land, mud, snow, rock)","No","No","No",NULL,"Km2","2021-03-25","2021-03-31","2021-04-08","2023-09-25"
"2021-0194-JPN","No","nat-geo-ear-gro","Natural","Geophysical","Earthquake","Ground movement",NULL,NULL,"No","No","No","7","Moment Magnitude","2021-03-20","2021-03-20","2021-04-12","2023-09-25"
"2021-0200-IDN","No","nat-geo-ear-gro","Natural","Geophysical","Earthquake","Ground movement",NULL,NULL,"No","No","No","6","Moment Magnitude","2021-04-11","2021-04-11","2021-04-13","2023-09-25"
"2021-0201-CHN","No","nat-geo-ear-gro","Natural","Geophysical","Earthquake","Ground movement",NULL,NULL,"No","No","No","5.4","Moment Magnitude","2021-03-24","2021-03-24","2021-04-13","2023-09-25"
"2021-0205-PAK","No","nat-hyd-flo-flo","Natural","Hydrological","Flood","Flood (General)",NULL,"Storm","No","No","No",NULL,"Km2","2021-03-22","2021-03-23","2021-04-13","2023-09-25"
"2021-0215-IRN","No","nat-geo-ear-gro","Natural","Geophysical","Earthquake","Ground movement",NULL,NULL,"No","No","No","5.9","Moment Magnitude","2021-04-18","2021-04-18","2021-04-19","2023-09-25"
"2021-0217-VNM","No","nat-hyd-flo-fla","Natural","Hydrological","Flood","Flash flood","Heay rains",NULL,"No","No","No",NULL,"Km2","2021-04-16","2021-04-19","2021-04-19","2023-09-25"
"2021-0225-BTN","No","nat-geo-ear-gro","Natural","Geophysical","Earthquake","Ground movement",NULL,NULL,"No","No","No","6","Moment Magnitude","2021-04-28","2021-04-28","2021-06-24","2023-09-25"
"2021-0225-IND","No","nat-geo-ear-gro","Natural","Geophysical","Earthquake","Ground movement",NULL,NULL,"No","No","No","6.4","Moment Magnitude","2021-04-28","2021-04-28","2021-04-29","2023-09-25"
"2021-0226-PHL","No","nat-hyd-flo-flo","Natural","Hydrological","Flood","Flood (General)","Heavy rains",NULL,"No","No","No",NULL,"Km2","2021-04-26","2021-04-27","2021-04-29","2023-09-25"
"2021-0234-IND","No","nat-cli-glo-glo","Natural","Climatological","Glacial lake outburst flood","Glacial lake outburst flood",NULL,"Slide (land, mud, snow, rock)","No","No","No",NULL,NULL,"2021-04-23","2021-04-23","2021-04-29","2023-09-25"
"2021-0236-PHL","No","nat-met-sto-tro","Natural","Meteorological","Storm","Tropical cyclone",NULL,NULL,"No","No","No",NULL,"Kph","2021-04-22","2021-04-22","2021-04-29","2023-09-25"
"2021-0237-KHM","No","nat-met-sto-sev","Natural","Meteorological","Storm","Severe weather",NULL,NULL,"No","No","No",NULL,"Kph","2021-04-16","2021-04-22","2021-04-29","2023-09-25"
"2021-0248-CHN","No","nat-met-sto-lig","Natural","Meteorological","Storm","Lightning/Thunderstorms",NULL,"Lightening|Transport accident","No","No","No",NULL,"Kph","2021-04-30","2021-05-01","2021-05-10","2023-09-25"
"2021-0252-IND","No","nat-met-sto-tro","Natural","Meteorological","Storm","Tropical cyclone",NULL,NULL,"No","No","No","222","Kph","2021-05-14","2021-05-19","2021-05-17","2023-09-25"
"2021-0252-LKA","No","nat-met-sto-tro","Natural","Meteorological","Storm","Tropical cyclone",NULL,NULL,"No","No","No",NULL,"Kph","2021-05-16","2021-05-17","2021-05-17","2023-09-25"
"2021-0252-MDV","No","nat-met-sto-tro","Natural","Meteorological","Storm","Tropical cyclone",NULL,NULL,"No","No","No",NULL,"Kph","2021-05-16","2021-05-17","2021-05-17","2023-09-25"
"2021-0253-LKA","No","nat-hyd-flo-flo","Natural","Hydrological","Flood","Flood (General)","Heavy rains","Slide (land, mud, snow, rock)","No","No","No",NULL,"Km2","2021-05-13","2021-06-01","2021-05-17","2023-09-25"
"2021-0255-CHN","No","nat-met-sto-tor","Natural","Meteorological","Storm","Tornado",NULL,NULL,"No","No","No",NULL,"Kph","2021-05-13","2021-05-15","2021-05-17","2023-09-25"
"2021-0259-IRN","No","nat-hyd-flo-fla","Natural","Hydrological","Flood","Flash flood",NULL,NULL,"No","No","No",NULL,"Km2","2021-05-01","2021-05-07","2021-05-17","2023-09-25"
"2021-0263-AFG","No","nat-hyd-flo-fla","Natural","Hydrological","Flood","Flash flood","Heavy rains",NULL,"No","No","No",NULL,"Km2","2021-05-02","2021-05-06","2021-05-17","2023-09-25"
