"disaster_number","historic","classification_key","disaster_group","disaster_subgroup","disaster_type","disaster_subtype","origin","associated_types","ofda_bha_response","appeal","declaration","magnitude","magnitude_scale","start_date","end_date","entry_date","last_update"
"2004-0571-CHN","No","nat-geo-ear-gro","Natural","Geophysical","Earthquake","Ground movement",NULL,NULL,"No","No","No","5.2","Moment Magnitude","2004-09-07","2004-09-07","2004-11-15","2023-09-25"
"2004-0580-PHL","No","nat-met-sto-tro","Natural","Meteorological","Storm","Tropical cyclone",NULL,"Slide (land, mud, snow, rock)","No","No","No","215","Kph","2004-11-14","2004-11-21","2006-05-12","2023-09-25"
"2004-0580-VNM","No","nat-met-sto-tro","Natural","Meteorological","Storm","Tropical cyclone",NULL,"Flood|Slide (land, mud, snow, rock)","No","No","No",NULL,"Kph","2004-11-26","2004-11-26","2005-01-03","2023-09-25"
"2004-0590-MYS","No","nat-met-sto-sto","Natural","Meteorological","Storm","Storm (General)",NULL,"Flood|Slide (land, mud, snow, rock)","No","No","No",NULL,"Kph","2004-11-06","2004-11-06","2004-11-22","2023-09-25"
"2004-0600-TUR","No","nat-met-sto-bli","Natural","Meteorological","Storm","Blizzard/Winter storm",NULL,"Flood","No","No","No",NULL,"Kph","2004-11-21","2004-11-22","2004-11-30","2023-09-25"
"2004-0602-PHL","No","nat-met-sto-tro","Natural","Meteorological","Storm","Tropical cyclone",NULL,"Flood|Slide (land, mud, snow, rock)","No","No","No",NULL,"Kph","2004-11-23","2004-11-28","2005-03-09","2023-09-25"
"2004-0607-IDN","No","nat-geo-ear-gro","Natural","Geophysical","Earthquake","Ground movement",NULL,"Fire","No","Yes","No","7.1","Moment Magnitude","2004-11-26","2004-11-26","2005-04-12","2023-09-25"
"2004-0609-PHL","No","nat-met-sto-tro","Natural","Meteorological","Storm","Tropical cyclone",NULL,"Flood|Slide (land, mud, snow, rock)","Yes","Yes","No",NULL,"Kph","2004-11-29","2004-11-30","2005-07-28","2023-09-25"
"2004-0618-PHL","No","nat-met-sto-tro","Natural","Meteorological","Storm","Tropical cyclone",NULL,NULL,"No","No","No","240","Kph","2004-11-30","2004-12-03","2006-05-12","2023-09-25"
"2004-0618-TWN","No","nat-met-sto-tro","Natural","Meteorological","Storm","Tropical cyclone",NULL,NULL,"No","No","No","90","Kph","2004-12-04","2004-12-04","2004-12-16","2023-09-25"
"2004-0619-CHN","No","nat-geo-mmd-lan","Natural","Geophysical","Mass movement (dry)","Landslide (dry)",NULL,NULL,"No","No","No",NULL,NULL,"2004-12-03","2004-12-03","2014-07-11","2023-09-25"
"2004-0626-IRN","No","nat-hyd-flo-fla","Natural","Hydrological","Flood","Flash flood","Heavy rain",NULL,"No","No","No","436700","Km2","2004-12-09","2004-12-28","2005-03-08","2023-09-25"
"2004-0634-PHL","No","nat-hyd-mmw-lan","Natural","Hydrological","Mass movement (wet)","Landslide (wet)","Heavy rains",NULL,"No","No","No",NULL,NULL,"2004-12-13","2004-12-13","2004-12-21","2023-09-25"
"2004-0635-MYS","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood","Monsoonal rain",NULL,"No","No","No",NULL,"Km2","2004-12-10","2004-12-18","2005-01-03","2023-09-25"
"2004-0635-THA","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood","Monsoonal rain",NULL,"No","No","No",NULL,"Km2","2004-12-10","2004-12-18","2005-01-03","2023-09-25"
"2004-0652-LKA","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood","Monsoonal rain",NULL,"No","No","No","23460","Km2","2004-12-11","2004-12-23","2005-01-03","2023-09-25"
"2004-0659-BGD","No","nat-geo-ear-tsu","Natural","Geophysical","Earthquake","Tsunami",NULL,NULL,"No","No","No","9.1","Moment Magnitude","2004-12-26","2004-12-26","2014-03-27","2023-09-25"
"2004-0659-IDN","No","nat-geo-ear-tsu","Natural","Geophysical","Earthquake","Tsunami",NULL,"Tsunami/Tidal wave","No","No","No","9.1","Moment Magnitude","2004-12-26","2004-12-26","2014-03-27","2023-09-25"
"2004-0659-IND","No","nat-geo-ear-tsu","Natural","Geophysical","Earthquake","Tsunami","Earthquake",NULL,"Yes","No","No","9.1","Moment Magnitude","2004-12-26","2004-12-26","2014-03-27","2023-09-25"
"2004-0659-LKA","No","nat-geo-ear-tsu","Natural","Geophysical","Earthquake","Tsunami",NULL,NULL,"Yes","No","No","9.1","Moment Magnitude","2004-12-26","2004-12-26","2014-03-27","2023-09-25"
"2004-0659-MDV","No","nat-geo-ear-tsu","Natural","Geophysical","Earthquake","Tsunami",NULL,"Tsunami/Tidal wave","Yes","No","Yes","9.1","Moment Magnitude","2004-12-26","2004-12-26","2014-03-27","2023-09-25"
"2004-0659-MMR","No","nat-geo-ear-tsu","Natural","Geophysical","Earthquake","Tsunami",NULL,NULL,"No","No","No","9.1","Moment Magnitude","2004-12-26","2004-12-26","2014-03-27","2023-09-25"
"2004-0659-MYS","No","nat-geo-ear-tsu","Natural","Geophysical","Earthquake","Tsunami",NULL,"Tsunami/Tidal wave","Yes","No","No","9.1","Moment Magnitude","2004-12-26","2004-12-26","2014-03-27","2023-09-25"
"2004-0659-THA","No","nat-geo-ear-tsu","Natural","Geophysical","Earthquake","Tsunami",NULL,"Tsunami/Tidal wave","Yes","No","No","9.1","Moment Magnitude","2004-12-26","2004-12-26","2014-03-27","2023-09-25"
"2004-0673-PHL","No","nat-bio-epi-bac","Natural","Biological","Epidemic","Bacterial disease",NULL,NULL,"No","No","No",NULL,NULL,"2004-10-01","2005-01-28","2005-02-08","2023-09-25"
"2004-0677-CHN","No","nat-met-sto-tor","Natural","Meteorological","Storm","Tornado",NULL,NULL,"No","No","No",NULL,"Kph","2004-05-08","2004-05-08","2005-03-08","2023-09-25"
"2004-0678-BGD","No","nat-met-sto-tor","Natural","Meteorological","Storm","Tornado",NULL,NULL,"No","No","No",NULL,"Kph","2004-05-13","2004-05-13","2005-03-08","2023-09-25"
"2004-0679-BGD","No","nat-met-sto-sto","Natural","Meteorological","Storm","Storm (General)",NULL,NULL,"No","No","No",NULL,"Kph","2004-07-17","2004-07-17","2005-03-09","2023-09-25"
"2004-0680-CHN","No","nat-geo-ear-gro","Natural","Geophysical","Earthquake","Ground movement",NULL,NULL,"No","No","No","5.5","Moment Magnitude","2004-05-04","2004-05-04","2005-03-09","2023-09-25"
"2004-0725-PAK","No","nat-bio-epi-dis","Natural","Biological","Epidemic","Infectious disease (General)","Contaminated water",NULL,"No","No","No",NULL,"Vaccinated","2004-10-16","2004-10-16","2005-03-23","2023-09-25"
"2004-0734-IND","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood","Monsoonal rain",NULL,"No","No","No",NULL,"Km2","2004-08-01","2004-09-08","2005-03-25","2023-09-25"
"2004-0734-PAK","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood","Monsoonal rain",NULL,"No","No","No",NULL,"Km2","2004-08-01","2004-09-08","2005-03-25","2023-09-25"
"2004-0735-KHM","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood","Monsoonal rain",NULL,"No","No","No",NULL,"Km2","2004-08-24","2004-10-21","2005-03-25","2023-09-25"
"2004-0735-VNM","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood","Monsoonal rain","Rain","No","No","No","47760","Km2","2004-08-24","2004-10-21","2005-03-25","2023-09-25"
"2005-0016-IRN","No","nat-geo-ear-gro","Natural","Geophysical","Earthquake","Ground movement",NULL,NULL,"No","No","No","5.4","Moment Magnitude","2005-01-10","2005-01-10","2014-03-07","2023-09-25"
"2005-0028-SAU","No","nat-hyd-flo-fla","Natural","Hydrological","Flood","Flash flood","Heavy rains","Broken Dam/Burst bank|Rain","No","No","No","22760","Km2","2005-01-22","2005-01-27","2006-02-27","2023-09-25"
"2005-0031-IDN","No","nat-geo-ear-gro","Natural","Geophysical","Earthquake","Ground movement",NULL,NULL,"No","No","No","6.3","Moment Magnitude","2005-01-23","2005-01-23","2014-02-25","2023-09-25"
"2005-0044-AFG","No","nat-met-sto-sto","Natural","Meteorological","Storm","Storm (General)",NULL,"Cold wave","Yes","No","No",NULL,"Kph","2005-01-01","2005-02-01","2005-12-19","2023-09-25"
"2005-0044-PAK","No","nat-met-sto-sto","Natural","Meteorological","Storm","Storm (General)",NULL,"Cold wave","No","No","No",NULL,"Kph","2005-01-01","2005-01-01","2005-07-28","2023-09-25"
"2005-0045-TUR","No","nat-met-sto-bli","Natural","Meteorological","Storm","Blizzard/Winter storm","Snowstorm","Transport accident","No","No","No",NULL,"Kph","2005-01-01","2005-04-01","2014-11-20","2023-09-25"
"2005-0061-TLS","No","nat-bio-epi-vir","Natural","Biological","Epidemic","Viral disease",NULL,NULL,"No","No","No",NULL,"Vaccinated","2005-01-05","2005-02-28","2005-03-23","2023-09-25"
"2005-0063-TJK","No","nat-hyd-mmw-ava","Natural","Hydrological","Mass movement (wet)","Avalanche (wet)","Heavy snowfall",NULL,"No","Yes","No",NULL,NULL,"2005-02-03","2005-02-03","2005-07-28","2023-09-25"
"2005-0070-TUR","No","nat-geo-ear-gro","Natural","Geophysical","Earthquake","Ground movement",NULL,NULL,"No","No","No","5.9","Moment Magnitude","2005-01-25","2005-01-25","2006-01-17","2023-09-25"
"2005-0079-PAK","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood","Heavy rains and snow","Broken Dam/Burst bank|Slide (land, mud, snow, rock)","Yes","No","No","123200","Km2","2005-02-09","2005-02-16","2006-01-16","2023-09-25"
"2005-0084-IRN","No","nat-met-sto-sto","Natural","Meteorological","Storm","Storm (General)",NULL,NULL,"No","No","No",NULL,"Kph","2005-02-13","2005-02-13","2005-03-28","2023-09-25"
"2005-0089-IDN","No","nat-hyd-mmw-lan","Natural","Hydrological","Mass movement (wet)","Landslide (wet)",NULL,NULL,"No","No","No",NULL,NULL,"2005-02-21","2005-02-21","2005-03-22","2023-09-25"
"2005-0090-IND","No","nat-hyd-mmw-ava","Natural","Hydrological","Mass movement (wet)","Avalanche (wet)","Snowstorms",NULL,"No","No","No",NULL,NULL,"2005-02-15","2005-02-21","2006-01-18","2023-09-25"
"2005-0092-IRN","No","nat-geo-ear-gro","Natural","Geophysical","Earthquake","Ground movement",NULL,NULL,"No","No","No","6.4","Moment Magnitude","2005-02-22","2005-02-22","2005-07-28","2023-09-25"
"2005-0101-AFG","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood","Heavy rains and snowmelt",NULL,"No","No","No","46050","Km2","2005-03-05","2005-04-05","2005-09-14","2023-09-25"
"2005-0113-IRN","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood","Heavy rains","Slide (land, mud, snow, rock)","No","No","No","23040","Km2","2005-03-11","2005-03-12","2005-03-25","2023-09-25"
"2005-0116-KAZ","No","nat-hyd-flo-fla","Natural","Hydrological","Flood","Flash flood","Dam/levy break or release",NULL,"No","No","No",NULL,"Km2","2005-02-24","2005-03-23","2005-03-30","2023-09-25"
"2005-0116-UZB","No","nat-hyd-flo-fla","Natural","Hydrological","Flood","Flash flood",NULL,NULL,"No","No","No",NULL,"Km2","2005-02-24","2005-03-13","2005-03-18","2023-09-25"
"2005-0119-TUR","No","nat-hyd-mmw-lan","Natural","Hydrological","Mass movement (wet)","Landslide (wet)",NULL,NULL,"No","No","No",NULL,NULL,"2005-03-17","2005-03-17","2005-03-21","2023-09-25"
"2005-0120-PHL","No","nat-met-sto-tro","Natural","Meteorological","Storm","Tropical cyclone",NULL,NULL,"No","No","No","120","Kph","2005-03-15","2005-03-17","2006-05-04","2023-09-25"
"2005-0123-CHN","No","nat-met-sto-sto","Natural","Meteorological","Storm","Storm (General)",NULL,"Cold wave","No","No","No",NULL,"Kph","2005-03-03","2005-03-12","2005-04-01","2023-09-25"
"2005-0126-TUR","No","nat-geo-ear-gro","Natural","Geophysical","Earthquake","Ground movement",NULL,NULL,"No","No","No","5.8","Moment Magnitude","2005-03-14","2005-03-14","2005-05-03","2023-09-25"
"2005-0129-JPN","No","nat-geo-ear-gro","Natural","Geophysical","Earthquake","Ground movement",NULL,"Slide (land, mud, snow, rock)","No","No","No","6.6","Moment Magnitude","2005-03-20","2005-03-20","2011-04-27","2023-09-25"
"2005-0130-BGD","No","nat-met-sto-tor","Natural","Meteorological","Storm","Tornado",NULL,"Rain","No","No","No","100","Kph","2005-03-20","2005-03-23","2005-03-24","2023-09-25"
"2005-0145-CHN","No","nat-met-sto-sto","Natural","Meteorological","Storm","Storm (General)","Heavy snowfall",NULL,"No","No","No",NULL,"Kph","2005-02-28","2005-02-28","2005-04-01","2023-09-25"
"2005-0160-IDN","No","nat-geo-ear-gro","Natural","Geophysical","Earthquake","Ground movement",NULL,"Tsunami/Tidal wave","Yes","No","No","8.6","Moment Magnitude","2005-03-28","2005-03-28","2006-03-17","2023-09-25"
"2005-0169-AFG","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood","Heavy rains and snowmelt",NULL,"No","No","No","275300","Km2","2005-03-05","2005-03-25","2006-02-27","2023-09-25"
"2005-0170-PAK","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood","Heavy rain","Broken Dam/Burst bank","No","No","No","104000","Km2","2005-03-02","2005-03-08","2005-03-30","2023-09-25"
"2005-0180-KOR","No","nat-cli-wil-for","Natural","Climatological","Wildfire","Forest fire",NULL,NULL,"No","No","Yes",NULL,"Km2","2005-04-04","2005-04-06","2005-04-25","2023-09-25"
"2005-0188-CHN","No","nat-met-sto-sto","Natural","Meteorological","Storm","Storm (General)","Torrential rains","Hail|Rain","No","No","No",NULL,"Kph","2005-04-08","2005-04-08","2005-04-25","2023-09-25"
"2005-0190-BGD","No","nat-met-sto-tro","Natural","Meteorological","Storm","Tropical cyclone",NULL,NULL,"No","No","No",NULL,"Kph","2005-03-31","2005-03-31","2005-04-11","2023-09-25"
"2005-0191-IND","No","nat-met-sto-sto","Natural","Meteorological","Storm","Storm (General)",NULL,"Hail|Rain","No","No","No",NULL,"Kph","2005-03-23","2005-03-24","2005-04-11","2023-09-25"
"2005-0192-PAK","No","nat-hyd-flo-fla","Natural","Hydrological","Flood","Flash flood","Heavy rains",NULL,"No","No","No","75650","Km2","2005-03-20","2005-03-24","2005-09-14","2023-09-25"
"2005-0202-IDN","No","nat-geo-vol-ash","Natural","Geophysical","Volcanic activity","Ash fall",NULL,NULL,"No","No","No",NULL,NULL,"2005-04-12","2005-04-12","2005-04-18","2023-09-25"
"2005-0211-JPN","No","nat-geo-ear-gro","Natural","Geophysical","Earthquake","Ground movement",NULL,"Slide (land, mud, snow, rock)","No","No","No","5.5","Moment Magnitude","2005-04-19","2005-04-19","2005-05-03","2023-09-25"
"2005-0222-YEM","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood","Torrential rains",NULL,"No","No","No",NULL,"Km2","2005-04-25","2005-04-27","2005-04-28","2023-09-25"
"2005-0223-IDN","No","nat-hyd-flo-fla","Natural","Hydrological","Flood","Flash flood","Heavy rains","Slide (land, mud, snow, rock)","No","No","No","1730","Km2","2005-04-26","2005-04-27","2005-09-14","2023-09-25"
"2005-0225-GEO","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood","Torrential rain","Slide (land, mud, snow, rock)","Yes","No","No",NULL,"Km2","2005-04-23","2005-04-28","2005-12-19","2023-09-25"
"2005-0228-SAU","No","nat-hyd-flo-fla","Natural","Hydrological","Flood","Flash flood","Heavy rains","Rain","No","No","No",NULL,"Km2","2005-04-28","2005-04-28","2006-02-27","2023-09-25"
"2005-0259-BGD","No","nat-met-sto-sto","Natural","Meteorological","Storm","Storm (General)",NULL,NULL,"No","No","No",NULL,"Kph","2005-05-21","2005-05-22","2005-06-08","2023-09-25"
"2005-0261-BGD","No","nat-hyd-flo-fla","Natural","Hydrological","Flood","Flash flood","Heavy rains","Broken Dam/Burst bank","No","No","No","12730","Km2","2005-05-25","2005-05-28","2005-09-14","2023-09-25"
"2005-0268-IND","No","nat-bio-epi-bac","Natural","Biological","Epidemic","Bacterial disease",NULL,NULL,"No","No","No",NULL,NULL,"2005-05-18","2005-06-21","2005-06-23","2023-09-25"
"2005-0273-BGD","No","nat-met-sto-sto","Natural","Meteorological","Storm","Storm (General)",NULL,NULL,"No","No","No",NULL,"Kph","2005-05-14","2005-05-14","2005-06-08","2023-09-25"
"2005-0274-CHN","No","nat-met-sto-sto","Natural","Meteorological","Storm","Storm (General)",NULL,NULL,"No","No","No",NULL,"Kph","2005-05-13","2005-05-13","2005-06-03","2023-09-25"
"2005-0281-AFG","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood","Snowmelt",NULL,"No","No","No","82360","Km2","2005-05-04","2005-05-08","2005-09-14","2023-09-25"
"2005-0282-BGD","No","nat-met-sto-sto","Natural","Meteorological","Storm","Storm (General)",NULL,NULL,"No","No","No",NULL,"Kph","2005-05-06","2005-05-06","2005-06-03","2023-09-25"
"2005-0284-PHL","No","nat-hyd-flo-flo","Natural","Hydrological","Flood","Flood (General)",NULL,NULL,"No","No","No",NULL,"Km2","2005-05-12","2005-05-12","2005-06-03","2023-09-25"
"2005-0289-YEM","No","nat-bio-epi-vir","Natural","Biological","Epidemic","Viral disease",NULL,NULL,"No","No","No",NULL,"Vaccinated","2005-02-25","2005-12-06","2005-12-08","2023-09-25"
"2005-0290-IND","No","nat-met-sto-sto","Natural","Meteorological","Storm","Storm (General)",NULL,NULL,"No","No","No",NULL,"Kph","2005-05-01","2005-05-01","2005-06-08","2023-09-25"
"2005-0291-IND","No","nat-met-sto-sto","Natural","Meteorological","Storm","Storm (General)",NULL,NULL,"No","No","No",NULL,"Kph","2005-05-04","2005-05-04","2005-06-08","2023-09-25"
"2005-0303-THA","No","nat-met-sto-sto","Natural","Meteorological","Storm","Storm (General)",NULL,"Hail","No","No","No",NULL,"Kph","2005-05-21","2005-05-21","2005-06-13","2023-09-25"
"2005-0304-TJK","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood","Heavy rains","Slide (land, mud, snow, rock)","Yes","No","No","5930","Km2","2005-06-08","2005-06-10","2006-01-17","2023-09-25"
"2005-0307-CHN","No","nat-hyd-flo-fla","Natural","Hydrological","Flood","Flash flood","Brief torrential rain",NULL,"No","No","No","2330","Km2","2005-06-10","2005-06-12","2005-09-13","2023-09-25"
"2005-0311-CHN","No","nat-met-sto-hai","Natural","Meteorological","Storm","Hail",NULL,"Hail","No","No","No",NULL,"Kph","2005-06-10","2005-06-10","2005-06-13","2023-09-25"
"2005-0312-CHN","No","nat-met-sto-hai","Natural","Meteorological","Storm","Hail",NULL,"Hail","No","No","No",NULL,"Kph","2005-05-31","2005-05-31","2005-06-13","2023-09-25"
"2005-0314-IND","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood","Heavy rains","Slide (land, mud, snow, rock)","No","No","No",NULL,"Km2","2005-05-27","2005-05-27","2005-07-25","2023-09-25"
"2005-0315-VNM","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood","Heavy rains","Rain","No","No","No",NULL,"Km2","2005-05-26","2005-05-26","2005-06-13","2023-09-25"
"2005-0322-AFG","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood","Heavy rains and thunderstorms",NULL,"No","Yes","No",NULL,"Km2","2005-06-16","2005-06-17","2005-12-19","2023-09-25"
"2005-0323-BGD","No","nat-met-ext-hea","Natural","Meteorological","Extreme temperature","Heat wave",NULL,NULL,"No","No","No",NULL,"°C","2005-07-01","2005-07-01","2006-03-07","2023-09-25"
"2005-0323-IND","No","nat-met-ext-hea","Natural","Meteorological","Extreme temperature","Heat wave",NULL,NULL,"No","No","No","49","°C","2005-06-01","2005-06-01","2006-03-07","2023-09-25"
"2005-0326-AFG","No","nat-bio-epi-bac","Natural","Biological","Epidemic","Bacterial disease",NULL,NULL,"No","No","No",NULL,NULL,"2005-06-25","2005-09-19","2005-10-17","2023-09-25"
"2005-0329-TUR","No","nat-geo-ear-gro","Natural","Geophysical","Earthquake","Ground movement",NULL,NULL,"No","No","No","5.6","Moment Magnitude","2005-06-06","2005-06-06","2006-01-17","2023-09-25"
"2005-0334-CHN","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood","Heavy rains","Slide (land, mud, snow, rock)","No","No","No","69400","Km2","2005-06-28","2005-07-10","2006-02-27","2023-09-25"
"2005-0335-IND","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood","Heavy rains",NULL,"No","No","No",NULL,"Km2","2005-06-28","2005-07-15","2006-01-18","2023-09-25"
"2005-0339-CHN","No","nat-met-ext-hea","Natural","Meteorological","Extreme temperature","Heat wave",NULL,NULL,"No","No","No","39","°C","2005-07-01","2005-07-01","2005-07-12","2023-09-25"
"2005-0340-TUR","No","nat-hyd-flo-flo","Natural","Hydrological","Flood","Flood (General)",NULL,NULL,"No","No","No",NULL,"Km2","2005-07-04","2005-07-04","2005-07-12","2023-09-25"
"2005-0344-CHN","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood","Heavy rains","Slide (land, mud, snow, rock)","No","No","No","226600","Km2","2005-06-19","2005-06-30","2006-01-16","2023-09-25"
"2005-0347-PAK","No","nat-met-ext-hea","Natural","Meteorological","Extreme temperature","Heat wave",NULL,NULL,"No","No","No","50","°C","2005-06-13","2005-06-28","2006-03-07","2023-09-25"
"2005-0354-IND","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood","Monsonal rains","Broken Dam/Burst bank","No","No","No",NULL,"Km2","2005-07-09","2005-07-09","2005-07-13","2023-09-25"
"2005-0359-KGZ","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood","Torrential rains","Slide (land, mud, snow, rock)","No","No","No",NULL,"Km2","2005-06-10","2005-06-13","2005-12-19","2023-09-25"
"2005-0360-AFG","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood","Snowmelt",NULL,"No","No","No",NULL,"Km2","2005-06-21","2005-08-05","2006-01-16","2023-09-25"
"2005-0360-PAK","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood","Heavy snowfall during winter and unprecedented high temperatures",NULL,"No","No","No","28630","Km2","2005-06-21","2005-08-05","2006-01-16","2023-09-25"
"2005-0361-IND","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood","Heavy rains","Broken Dam/Burst bank","No","No","No","6530","Km2","2005-06-26","2005-06-29","2005-09-14","2023-09-25"
"2005-0370-TJK","No","nat-hyd-flo-fla","Natural","Hydrological","Flood","Flash flood","Seasonal warming of temperatures and rapid melting of snow","Slide (land, mud, snow, rock)","No","Yes","No",NULL,"Km2","2005-07-23","2005-07-23","2005-12-19","2023-09-25"
"2005-0371-PRK","No","nat-hyd-flo-fla","Natural","Hydrological","Flood","Flash flood","Mosoonal rains","Slide (land, mud, snow, rock)","No","No","No","2590","Km2","2005-06-30","2005-07-02","2006-02-27","2023-09-25"
"2005-0374-IDN","No","nat-bio-epi-vir","Natural","Biological","Epidemic","Viral disease",NULL,NULL,"No","No","No","78000","Vaccinated","2005-06-01","2006-01-31","2012-11-13","2023-09-25"
"2005-0375-BGD","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood","Monsoonal rain",NULL,"No","No","No",NULL,"Km2","2005-07-07","2005-07-27","2005-09-14","2023-09-25"
"2005-0375-IND","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood","Monsoon rain","Slide (land, mud, snow, rock)","No","No","No",NULL,"Km2","2005-07-07","2005-07-28","2005-09-14","2023-09-25"
"2005-0375-NPL","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood","Monsoonal rain",NULL,"No","No","No",NULL,"Km2","2005-07-07","2005-07-27","2005-09-14","2023-09-25"
"2005-0381-CHN","No","nat-met-sto-tro","Natural","Meteorological","Storm","Tropical cyclone",NULL,"Flood","No","No","No","260","Kph","2005-07-15","2005-07-19","2006-05-04","2023-09-25"
"2005-0381-TWN","No","nat-met-sto-tro","Natural","Meteorological","Storm","Tropical cyclone",NULL,"Flood","No","No","No","220","Kph","2005-07-18","2005-07-18","2006-05-04","2023-09-25"
"2005-0391-BGD","No","nat-met-sto-sto","Natural","Meteorological","Storm","Storm (General)",NULL,NULL,"No","No","No",NULL,"Kph","2005-06-30","2005-06-30","2005-07-22","2023-09-25"
"2005-0392-KOR","No","nat-hyd-flo-fla","Natural","Hydrological","Flood","Flash flood","Monsoonal rains","Slide (land, mud, snow, rock)","No","No","No","9970","Km2","2005-08-02","2005-08-04","2005-09-14","2023-09-25"
"2005-0394-JPN","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood","Heavy rains",NULL,"No","No","No",NULL,"Km2","2005-06-28","2005-06-28","2005-07-25","2023-09-25"
"2005-0395-CHN","No","nat-met-sto-sto","Natural","Meteorological","Storm","Storm (General)",NULL,"Hail","No","No","No",NULL,"Kph","2005-06-13","2005-06-14","2006-03-03","2023-09-25"
"2005-0396-TWN","No","nat-hyd-flo-fla","Natural","Hydrological","Flood","Flash flood","Heavy rain","Slide (land, mud, snow, rock)","No","No","No","3540","Km2","2005-06-11","2005-06-17","2005-09-13","2023-09-25"
"2005-0398-IND","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood","Monsoonal rains",NULL,"No","No","No","55740","Km2","2005-07-02","2005-07-15","2005-09-12","2023-09-25"
"2005-0399-IND","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood","Heavy rains",NULL,"No","No","No",NULL,"Km2","2005-07-10","2005-07-10","2005-08-04","2023-09-25"
"2005-0409-IND","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood","Monsoon rain","Broken Dam/Burst bank|Slide (land, mud, snow, rock)","Yes","No","No","35550","Km2","2005-07-24","2005-08-05","2006-01-16","2023-09-25"
"2005-0411-CHN","No","nat-bio-epi-bac","Natural","Biological","Epidemic","Bacterial disease",NULL,NULL,"No","No","No",NULL,NULL,"2005-06-24","2005-08-20","2005-09-12","2023-09-25"
"2005-0413-CHN","No","nat-met-sto-tor","Natural","Meteorological","Storm","Tornado",NULL,NULL,"No","No","No",NULL,"Kph","2005-07-30","2005-07-30","2005-08-04","2023-09-25"
"2005-0414-IRN","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood","Heavy rains",NULL,"No","No","No","4580","Km2","2005-07-31","2005-08-01","2005-09-08","2023-09-25"
"2005-0415-TUR","No","nat-hyd-flo-fla","Natural","Hydrological","Flood","Flash flood","Heavy rains","Slide (land, mud, snow, rock)","No","No","No","1670","Km2","2005-08-02","2005-08-03","2006-01-17","2023-09-25"
"2005-0419-CHN","No","nat-met-sto-tro","Natural","Meteorological","Storm","Tropical cyclone",NULL,"Rain|Slide (land, mud, snow, rock)","No","No","No","165","Kph","2005-07-30","2005-08-04","2007-02-21","2023-09-25"
"2005-0419-KOR","No","nat-met-sto-tro","Natural","Meteorological","Storm","Tropical cyclone",NULL,NULL,"No","No","No",NULL,"Kph","2005-08-02","2005-08-07","2007-02-21","2023-09-25"
"2005-0419-TWN","No","nat-met-sto-tro","Natural","Meteorological","Storm","Tropical cyclone",NULL,"Flood","No","No","No",NULL,"Kph","2005-07-30","2005-08-08","2006-10-12","2023-09-25"
"2005-0426-IRN","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood","Heavy rains",NULL,"No","No","No","4900","Km2","2005-08-09","2005-08-11","2005-09-07","2023-09-25"
"2005-0430-IDN","No","nat-cli-wil-for","Natural","Climatological","Wildfire","Forest fire",NULL,NULL,"No","No","No",NULL,"Km2","2005-08-09","2005-08-09","2005-09-12","2023-09-25"
